item_key,item_name,desc,unit_price,man_country,supplier,unit
I00059,Muscle Milk Protein Shake Van. 11oz,Beverage - Energy/Protein,22,Lithuania,BIGSO AB,bottles
I00060,Muscle Milk Protein Shake Strbry. 11oz,Beverage - Energy/Protein,22,poland,CHROMADURLIN S.A.S,bottles
I00061,Red Bull 12oz,Beverage - Energy/Protein,55,United States,MAESA SAS,cans
I00062,Red Bull 16oz,Beverage - Energy/Protein,37,Bangladesh,DENIMACH LTD,cans
I00063,Red Bull 8.4 oz,Beverage - Energy/Protein,40,Lithuania,BIGSO AB,cans
I00064,Red Bull Sugar Free 8.4 oz,Beverage - Energy/Protein,40,Lithuania,BIGSO AB,cans
I00065,G2 Lo Calorie Variety 20 oz,Beverage - Gatorade,20,Lithuania,BIGSO AB,bottles
I00066,Gatorade Frost Variety 20 oz ,Beverage - Gatorade,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,bottles
I00067,Gatorade Lemon Lime 12oz,Beverage - Gatorade,8,Finland,HARDFORD AB,bottles
I00068,Gatorade Liberty Variety 20 oz ,Beverage - Gatorade,20,India,Indo Count Industries Ltd,bottles
I00069,Gatorade Frost Variety 12 oz,Beverage - Gatorade,17.5,Bangladesh,DENIMACH LTD,bottles
I00070,Gatorade Liberty Variety 12 oz,Beverage - Gatorade,17.5,United States,MAESA SAS,bottles
I00071,Gatorade Original Variety 12 oz,Beverage - Gatorade,17.5,Germany,Friedola 1888 GmbH,bottles
I00072,Gatorade Variety 20 oz ,Beverage - Gatorade,20,Bangladesh,DENIMACH LTD,bottles
I00073,Gatorade X-Factor Fierce Variety 20 oz,Beverage - Gatorade,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,bottles
I00074,Gatorade Zero Variety 20 oz,Beverage - Gatorade,20,Netherlands,Bolsius Boxmeer,bottles
I00075,Brisk Lemon Iced Tea - 12 oz cans,Beverage - Iced Tea,15.5,United States,MAESA SAS,cans
I00076,Diet Fuze Iced Tea,Beverage - Iced Tea,6.75,Germany,Friedola 1888 GmbH,cans
I00077,Fuze Iced Tea,Beverage - Iced Tea,6.75,poland,CHROMADURLIN S.A.S,cans
I00078,Pure Leaf Sweet Tea 8.5oz,Beverage - Iced Tea,17,Netherlands,Bolsius Boxmeer,bottles
I00079,Pure Leaf Unsweetened Tea 18.5oz,Beverage - Iced Tea,17,China,"CHERRY GROUP CO.,LTD",bottles
I00080,Snapple Variety Pack 20oz,Beverage - Iced Tea,22,Germany,Friedola 1888 GmbH,bottles
I00081,Tejava Unsweetened Black Tea 16.9oz,Beverage - Iced Tea,29,China,"CHERRY GROUP CO.,LTD",bottles
I00082,100% Juice Box Variety 6.75 oz ,Beverage - Juice,15,Lithuania,BIGSO AB,ct
I00083,Ocean Spray Cranberry Juice Cocktail 15oz ,Beverage - Juice,14,Finland,HARDFORD AB,bottles
I00084,Tropicana Apple Juice 10 oz 100% ,Beverage - Juice,18,Germany,Friedola 1888 GmbH,bottles
I00085,Tropicana Orange Juice 10 oz 100% ,Beverage - Juice,18,Bangladesh,DENIMACH LTD,bottles
I00086,V8 100% Vegetable Juice 11oz cans,Beverage - Juice,18,poland,CHROMADURLIN S.A.S,cans
I00087,V-8 Splash Variety 20 oz,Beverage - Juice,15,China,"CHERRY GROUP CO.,LTD",bottles
I00088,Welch's 100% Juice Variety10 oz,Beverage - Juice,17,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,bottles
I00089,AquaFina Purified Drinking Water 16oz,Beverage Water,9,Germany,Friedola 1888 GmbH,bottles
I00090,Dasani Bottled Water 16.9 oz,Beverage Water,9,Bangladesh,DENIMACH LTD,bottles
I00091,Nestle Purelife 16oz ,Beverage Water,7.5,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,bottles
I00092,Ozarka Spring Water 16.9 oz bottles,Beverage Water,10,Lithuania,BIGSO AB,bottles
I00093,Ozarka Spring Water 20 oz,Beverage Water,13,Bangladesh,DENIMACH LTD,bottles
I00094,Ozarka Spring Water Mini 8oz,Beverage Water,11,Netherlands,Bolsius Boxmeer,bottles
I00095,Propel Zero Variety 20 oz,Beverage Water,16,Finland,HARDFORD AB,botlltes
I00096,Sobe Zero Lifewater Variety 20 oz,Beverage Water,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,bottles
I00097,Vita Coconut Water 10oz ,Beverage Water,19,India,Indo Count Industries Ltd,cartons
I00098,Coffee-Mate French Vanilla Cold,Coffee Cream,10,Finland,HARDFORD AB,oz
I00099,Coffee-Mate Original Flavor Cold,Coffee Cream,6,Bangladesh,DENIMACH LTD,oz
